timestamp_utc,open,high,low,close,base_volume,quote_volume,trades,taker_buy_base,taker_buy_quote
2025-09-09T05:57:00+00:00,12.8519,13.2,12.8214,13.122,370023.0,4819589.9239,21852,239869.0,3127146.3138
2025-09-09T05:58:00+00:00,13.1214,13.275,13.0065,13.0415,422848.0,5557632.5438,25671,224932.0,2959318.3437
2025-09-09T05:59:00+00:00,13.0334,13.0973,13.0029,13.0563,120095.0,1567998.1613,8762,63609.0,830671.3553
2025-09-09T06:00:00+00:00,13.0564,13.1538,12.9666,12.9879,229356.0,2992346.6487,13363,118533.0,1548291.6182
2025-09-09T06:01:00+00:00,12.988,13.0154,12.9133,12.9505,142512.0,1847604.1893,9710,58628.0,760217.7503
2025-09-09T06:02:00+00:00,12.9529,13.046,12.9529,13.0062,84518.0,1099654.2262,5991,45618.0,593521.9818
2025-09-09T06:03:00+00:00,13.0061,13.0299,12.921,12.9681,100438.0,1303848.6768,6527,46375.0,602113.7464
2025-09-09T06:04:00+00:00,12.9684,12.9856,12.89,12.9712,86464.0,1117984.6784,6789,40895.0,528898.8864
2025-09-09T06:05:00+00:00,12.971,13.11,12.9664,13.106,161675.0,2108129.3421,10822,107001.0,1395416.4249
2025-09-09T06:06:00+00:00,13.1085,13.1783,13.0256,13.1347,175155.0,2293595.2406,11163,109437.0,1433543.4458
2025-09-09T06:07:00+00:00,13.1351,13.3169,13.0821,13.0994,265647.0,3511238.218,18632,144357.0,1909007.1098
2025-09-09T06:08:00+00:00,13.0994,13.0994,13.005,13.0234,100610.0,1313296.1631,8078,43218.0,564341.6347
2025-09-09T06:09:00+00:00,13.0256,13.0981,12.98,13.0609,103854.0,1353986.8014,8290,55967.0,729951.2028
2025-09-09T06:10:00+00:00,13.0599,13.12,12.98,12.9858,83622.0,1090275.1095,6989,43108.0,562513.8641
2025-09-09T06:11:00+00:00,12.9888,13.0129,12.9401,13.0,106235.0,1378371.5733,8514,54811.0,711392.7164
2025-09-09T06:12:00+00:00,12.997,13.0582,12.8681,12.8946,155699.0,2014364.079,11644,68738.0,889648.3373
2025-09-09T06:13:00+00:00,12.8941,12.9289,12.8278,12.8279,118243.0,1521832.4202,8320,49769.0,640909.202
2025-09-09T06:14:00+00:00,12.8279,12.9058,12.8239,12.8494,80141.0,1031101.4739,6029,43121.0,554906.9454
2025-09-09T06:15:00+00:00,12.8459,12.9666,12.8236,12.8894,107847.0,1391945.3463,8423,60893.0,786051.0047
2025-09-09T06:16:00+00:00,12.8894,13.0,12.8761,12.9605,93881.0,1215689.8354,7586,57784.0,748309.063
2025-09-09T06:17:00+00:00,12.9585,12.9585,12.79,12.898,144181.0,1852974.9706,9639,66305.0,852549.9036
2025-09-09T06:18:00+00:00,12.9003,12.984,12.8802,12.9386,67771.0,877079.5025,6092,37073.0,479905.2486
2025-09-09T06:19:00+00:00,12.9372,13.3308,12.9104,13.2516,293545.0,3866406.6246,21523,165875.0,2184120.9678
2025-09-09T06:20:00+00:00,13.2529,13.4766,13.206,13.4696,444369.0,5945380.1651,24935,268531.0,3593791.7163
2025-09-09T06:21:00+00:00,13.4637,13.6477,13.3507,13.3949,531224.0,7168103.9639,29498,277122.0,3742504.2959
2025-09-09T06:22:00+00:00,13.3886,13.476,13.3268,13.3513,186573.0,2500727.854,12963,92661.0,1242369.8948
2025-09-09T06:23:00+00:00,13.3508,13.433,13.2274,13.244,155746.0,2071624.7129,11286,68832.0,915797.6044
2025-09-09T06:24:00+00:00,13.2478,13.3457,13.246,13.284,89321.0,1187524.9281,6615,51605.0,686198.0717
2025-09-09T06:25:00+00:00,13.284,13.2869,13.1776,13.2641,126670.0,1676265.3294,9155,58955.0,780409.0362
2025-09-09T06:26:00+00:00,13.2605,13.267,13.1609,13.1818,92682.0,1224317.4804,7287,37686.0,498052.273
2025-09-09T06:27:00+00:00,13.1795,13.2699,13.1472,13.1906,116405.0,1536668.8578,8551,64131.0,846803.6017
2025-09-09T06:28:00+00:00,13.1947,13.3104,13.1932,13.2567,96719.0,1283359.2319,7807,56875.0,754671.011
2025-09-09T06:29:00+00:00,13.2566,13.2897,13.1901,13.2748,68470.0,906851.8609,5865,36740.0,486659.456
2025-09-09T06:30:00+00:00,13.273,13.2911,13.18,13.2136,79616.0,1053111.7338,6244,40808.0,539848.5646
2025-09-09T06:31:00+00:00,13.2134,13.3292,13.2012,13.2489,107255.0,1423836.2268,9431,59675.0,792414.4414
2025-09-09T06:32:00+00:00,13.2476,13.3698,13.2105,13.3605,122101.0,1623738.8863,10011,69476.0,924240.0612
2025-09-09T06:33:00+00:00,13.3604,13.4843,13.327,13.4325,203292.0,2726144.6399,15735,114056.0,1529743.404
2025-09-09T06:34:00+00:00,13.4315,13.4479,13.3523,13.3557,71225.0,953283.4106,5777,31702.0,424368.5645
2025-09-09T06:35:00+00:00,13.3557,13.3564,13.2107,13.2687,135299.0,1795949.1129,10223,68092.0,903757.9465
2025-09-09T06:36:00+00:00,13.2705,13.3136,13.2391,13.28,63785.0,847211.8249,4987,36302.0,482266.2033
2025-09-09T06:37:00+00:00,13.28,13.3681,13.2763,13.3438,91066.0,1212293.8653,6481,48006.0,639305.7527
2025-09-09T06:38:00+00:00,13.3403,13.3734,13.2763,13.283,54400.0,724451.7702,4932,23717.0,315936.8034
2025-09-09T06:39:00+00:00,13.2859,13.4319,13.2768,13.3685,92447.0,1237154.1064,7553,51678.0,691588.5792
2025-09-09T06:40:00+00:00,13.3659,13.3824,13.2958,13.3423,70766.0,943555.16,6131,37338.0,497894.4061
2025-09-09T06:41:00+00:00,13.3423,13.3534,13.262,13.2641,67785.0,902177.2449,5349,30863.0,410970.2202
2025-09-09T06:42:00+00:00,13.2641,13.4187,13.2085,13.3934,159273.0,2121528.0147,11942,85341.0,1137045.2754
2025-09-09T06:43:00+00:00,13.3935,13.69,13.3704,13.5623,404036.0,5462197.3954,23414,239430.0,3237817.5204
2025-09-09T06:44:00+00:00,13.5652,13.88,13.5273,13.6644,535695.0,7350381.5442,28831,325109.0,4465145.9581
2025-09-09T06:45:00+00:00,13.6631,13.7319,13.5791,13.6563,165900.0,2263974.7004,11811,80982.0,1105504.9422
2025-09-09T06:46:00+00:00,13.6581,13.7818,13.6375,13.6643,175167.0,2401109.5758,12182,87338.0,1197573.9282
2025-09-09T06:47:00+00:00,13.665,13.7065,13.5108,13.5291,171804.0,2334904.8316,10922,82324.0,1119273.0512
2025-09-09T06:48:00+00:00,13.5316,13.5663,13.4519,13.4829,180735.0,2441276.329,9814,75863.0,1024972.3326
2025-09-09T06:49:00+00:00,13.4843,13.5438,13.4716,13.5081,94736.0,1279578.4476,6476,53028.0,716301.1541
2025-09-09T06:50:00+00:00,13.509,13.5799,13.4313,13.4674,128321.0,1733336.2764,9611,65215.0,881336.2875
2025-09-09T06:51:00+00:00,13.4647,13.5132,13.4036,13.4479,110517.0,1487185.9217,7859,53522.0,720422.9147
2025-09-09T06:52:00+00:00,13.4461,13.5056,13.4036,13.4432,102087.0,1372604.863,7681,51706.0,695531.0031
2025-09-09T06:53:00+00:00,13.4404,13.4428,13.3803,13.4279,82654.0,1107987.0882,5380,38952.0,522261.6292
2025-09-09T06:54:00+00:00,13.4261,13.619,13.4218,13.6023,158907.0,2152139.2896,9269,93936.0,1271277.1871
2025-09-09T06:55:00+00:00,13.6035,13.7328,13.5871,13.675,175447.0,2400383.5471,9880,98247.0,1344148.0178
2025-09-09T06:56:00+00:00,13.6742,13.7515,13.6636,13.6811,148923.0,2041325.1267,8170,70431.0,965627.5104
2025-09-09T06:57:00+00:00,13.6813,14.0,13.668,13.9333,474353.0,6581585.4655,24406,305745.0,4244997.0115
2025-09-09T06:58:00+00:00,13.9279,14.1499,13.8532,13.9317,579513.0,8102531.5422,26246,343437.0,4806455.8652
2025-09-09T06:59:00+00:00,13.9316,13.9784,13.8835,13.8947,186194.0,2591896.2856,9339,79673.0,1109386.1466
2025-09-09T07:00:00+00:00,13.8949,13.8957,13.7163,13.742,226532.0,3125907.6412,13906,105711.0,1458622.4447
2025-09-09T07:01:00+00:00,13.7419,14.31,13.7188,14.1729,671201.0,9468997.6836,35982,412024.0,5813268.1629
2025-09-09T07:02:00+00:00,14.1797,14.5466,14.1441,14.3057,903838.0,12979137.322,40586,516348.0,7420650.5166
2025-09-09T07:03:00+00:00,14.3001,14.9435,14.2708,14.6343,995082.0,14559110.9713,48228,615865.0,9020886.1426
2025-09-09T07:04:00+00:00,14.6247,14.7,14.5003,14.6178,356397.0,5198552.788,19439,169703.0,2476952.2483
2025-09-09T07:05:00+00:00,14.618,14.7,14.3805,14.4194,345784.0,5008711.4272,18133,161824.0,2345053.1359
2025-09-09T07:06:00+00:00,14.4194,14.5969,14.412,14.547,237966.0,3456884.4274,14186,133430.0,1938646.8095
2025-09-09T07:07:00+00:00,14.5452,15.9,14.5375,15.477,2396793.0,36888544.7981,94326,1468146.0,22570059.2479
2025-09-09T07:08:00+00:00,15.4771,16.484,15.3,15.9625,2099572.0,33479092.147,79067,1306332.0,20864386.9141
2025-09-09T07:09:00+00:00,15.9625,16.33,15.7055,15.8669,799801.0,12736268.4741,41748,429745.0,6850837.9822
2025-09-09T07:10:00+00:00,15.867,16.0613,15.6118,15.6568,617282.0,9756145.8799,27163,308178.0,4877004.7929
2025-09-09T07:11:00+00:00,15.6571,16.12,15.6571,15.9497,508932.0,8120976.8762,24698,284288.0,4533867.8819
2025-09-09T07:12:00+00:00,15.9486,16.0562,15.7557,15.9391,337221.0,5363579.7412,19220,174242.0,2773463.775
