event_type,block_number,block_timestamp_utc,tx_hash,log_index,reserve_or_debt_asset,collateral_asset,user,on_behalf_of_or_repayer,liquidator,amount_crv,collateral_amount_usdc,borrow_rate_mode,receive_a_token
LiquidationCall,16027152,2022-11-22T17:52:35Z,0xb31bbda66574fc816c7d3837aeb90305c5b707d928ff659672e3a81388eac327,23,0xD533a949740bb3306d119CC777fa900bA034cd52,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x57e04786e231af3343562c062e0d058f25dace9e,,0x7719494eb8f3ca261f5c806d754853dc5ce2edf7,208937.262811992616121768,153837.607827,,false
LiquidationCall,16027152,2022-11-22T17:52:35Z,0x7e19776230dfa71146f6bf8898b5769e4faa92d13b982b9db3d38b4d6a26bd2a,47,0xD533a949740bb3306d119CC777fa900bA034cd52,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x57e04786e231af3343562c062e0d058f25dace9e,,0x80d4230c0a68fc59cb264329d3a717fcaa472a13,331991.848005942802302078,244440.991655,,false
LiquidationCall,16027156,2022-11-22T17:53:23Z,0x648631c7d9f712fba7a2015fa6800f807b6e4f951f1fc3a63e778a8d69e42b70,38,0xD533a949740bb3306d119CC777fa900bA034cd52,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x57e04786e231af3343562c062e0d058f25dace9e,,0x7719494eb8f3ca261f5c806d754853dc5ce2edf7,6435.220398421535699426,4738.163497,,false
LiquidationCall,16027159,2022-11-22T17:53:59Z,0x87beda1d862b1d0bb287e8ee90c4525854404d48d2c415bf09c511d7023ebcf7,38,0xD533a949740bb3306d119CC777fa900bA034cd52,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x57e04786e231af3343562c062e0d058f25dace9e,,0x7719494eb8f3ca261f5c806d754853dc5ce2edf7,75710.713462811519159693,55744.747917,,false
LiquidationCall,16027159,2022-11-22T17:53:59Z,0x764068496df3e7624584af321e7383e04326360efa43d729ee45f7ff796c28c9,53,0xD533a949740bb3306d119CC777fa900bA034cd52,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x57e04786e231af3343562c062e0d058f25dace9e,,0xd911560979b78821d7b045c79e36e9cbfc2f6c6f,225000,165664.378366,,true
LiquidationCall,16027159,2022-11-22T17:53:59Z,0x48330a2de9a8e316f8f965013ddafbe3b13f314351af59d438a21dff1c27fa2d,67,0xD533a949740bb3306d119CC777fa900bA034cd52,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x57e04786e231af3343562c062e0d058f25dace9e,,0x80d4230c0a68fc59cb264329d3a717fcaa472a13,162006.365702694557668703,119283.039402,,false
LiquidationCall,16027160,2022-11-22T17:54:11Z,0x8f6606f0b3ba26c00aac97eb98af60b9f3f698fb9303cdb5a5eb16c1965912a6,23,0xD533a949740bb3306d119CC777fa900bA034cd52,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x57e04786e231af3343562c062e0d058f25dace9e,,0x7719494eb8f3ca261f5c806d754853dc5ce2edf7,682558.179129618018580658,502558.117529,,false
LiquidationCall,16027161,2022-11-22T17:54:23Z,0xca27994d94b2d9b5fd3d96d9631f2828ec868f6cf35a1da15d91f22521b38d73,15,0xD533a949740bb3306d119CC777fa900bA034cd52,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x57e04786e231af3343562c062e0d058f25dace9e,,0x80d4230c0a68fc59cb264329d3a717fcaa472a13,46093.737382967557064716,33938.179333,,false
LiquidationCall,16027161,2022-11-22T17:54:23Z,0x469b72472a2145a485226ddc628f448a9343d32b7205e014bb311706094bf570,64,0xD533a949740bb3306d119CC777fa900bA034cd52,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x57e04786e231af3343562c062e0d058f25dace9e,,0x7719494eb8f3ca261f5c806d754853dc5ce2edf7,42035.006395517121723521,30949.792018,,false
LiquidationCall,16027162,2022-11-22T17:54:35Z,0xa480c3a09e9e9199535c02f9c2c123e3bccf68ace1a3103ddab087f6362ef700,26,0xD533a949740bb3306d119CC777fa900bA034cd52,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x57e04786e231af3343562c062e0d058f25dace9e,,0x7719494eb8f3ca261f5c806d754853dc5ce2edf7,279800.566910252854526515,211403.777105,,false
LiquidationCall,16027162,2022-11-22T17:54:35Z,0xb9e15ff579f80021fbe152ad8b8fd677afc0b0f1da7a8fbce79e4d646b725128,152,0xD533a949740bb3306d119CC777fa900bA034cd52,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x57e04786e231af3343562c062e0d058f25dace9e,,0xe3b9ed955bf1c8c520bb9420abac6e62bb110b29,71589.208386468547400348,54089.343778,,false
LiquidationCall,16027163,2022-11-22T17:54:47Z,0x2cae0b7a62f95056256df5baada6be7bd2c117b5ca22192d992af7382e7f9925,16,0xD533a949740bb3306d119CC777fa900bA034cd52,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x57e04786e231af3343562c062e0d058f25dace9e,,0x80d4230c0a68fc59cb264329d3a717fcaa472a13,250359.541860216286147718,189159.562356,,false
LiquidationCall,16027164,2022-11-22T17:54:59Z,0x427b4cbd8a3ba8c17e3439c2f5f8c32ca68a925a0dab221fbcd91243ef72ab72,27,0xD533a949740bb3306d119CC777fa900bA034cd52,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x57e04786e231af3343562c062e0d058f25dace9e,,0x7719494eb8f3ca261f5c806d754853dc5ce2edf7,42882.098290926899832051,32399.639675,,false
LiquidationCall,16027165,2022-11-22T17:55:11Z,0xc31448c7957fd2ade24fedb328160cbb0b7c9e73add2f64ca154a6f0948630f4,19,0xD533a949740bb3306d119CC777fa900bA034cd52,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x57e04786e231af3343562c062e0d058f25dace9e,,0x80d4230c0a68fc59cb264329d3a717fcaa472a13,319292.028529514232542623,241241.615684,,false
LiquidationCall,16027166,2022-11-22T17:55:23Z,0x235fb29fd7c0012fa3573cfb0aa5dfcccd9294874a1fa9e04f3555ab63eb9602,16,0xD533a949740bb3306d119CC777fa900bA034cd52,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x57e04786e231af3343562c062e0d058f25dace9e,,0x80d4230c0a68fc59cb264329d3a717fcaa472a13,198290.396611050390386421,149818.634287,,false
LiquidationCall,16027166,2022-11-22T17:55:23Z,0xe4910f8becae83bd3e58d85c2d105f8569b35ff45ac30bbf03fa4e31c422ec0d,37,0xD533a949740bb3306d119CC777fa900bA034cd52,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x57e04786e231af3343562c062e0d058f25dace9e,,0x7719494eb8f3ca261f5c806d754853dc5ce2edf7,80854.644949335999639712,61089.859565,,false
LiquidationCall,16027167,2022-11-22T17:55:35Z,0xd4a8c521406664ce6704686a6e17ee6e017c42d8ff0d3abc2ba8dc3ea7d1b8e7,199,0xD533a949740bb3306d119CC777fa900bA034cd52,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x57e04786e231af3343562c062e0d058f25dace9e,,0xdfd3bd446f1b7fd96dc995126ee845af0b1254cd,10000,7555.516396,,false
LiquidationCall,16027168,2022-11-22T17:55:47Z,0x28168ee7aac5d120bf0ee63a74e2b1be0d799724ed237f5b8329de79c6f60881,16,0xD533a949740bb3306d119CC777fa900bA034cd52,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x57e04786e231af3343562c062e0d058f25dace9e,,0x80d4230c0a68fc59cb264329d3a717fcaa472a13,252988.760625607773405946,191146.072905,,false
LiquidationCall,16027169,2022-11-22T17:55:59Z,0x76c89686f5053d139594da0ea827e978c08a62a83315984224e11d07855778c1,19,0xD533a949740bb3306d119CC777fa900bA034cd52,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x57e04786e231af3343562c062e0d058f25dace9e,,0x80d4230c0a68fc59cb264329d3a717fcaa472a13,339015.404296220878612392,256143.644584,,false
LiquidationCall,16027169,2022-11-22T17:55:59Z,0x8d4aa0ebcd63ec42f7d391369fd69e5122f2f664ac3220e6ed955cddaec2c696,36,0xD533a949740bb3306d119CC777fa900bA034cd52,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x57e04786e231af3343562c062e0d058f25dace9e,,0x45cb6131d548344c7f150d958026fe0923ea86e4,819999.999999999991611392,619552.344518,,false
